,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
124,3,10,4,8,1,1,6,2,0,0,0,16,0,1,52,1,2,50,1,2,2,1
125,15,10,1,21,1,0,18,1,2,1,0,0,0,1,68,2,2,57,2,1,2,2
126,12,4,1,10,1,1,16,1,0,0,0,16,0,1,54,3,2,18,6,1,2,2
127,11,11,2,16,1,1,13,1,3,2,0,0,0,1,57,2,2,23,3,2,2,2
128,1,4,2,14,1,0,3,0,0,6,0,16,0,1,40,2,2,51,1,2,2,1
129,9,10,6,17,1,1,16,1,0,1,0,7,1,1,56,1,2,35,1,1,2,1
130,11,11,2,13,1,0,5,1,0,1,0,7,25,0,0,1,2,24,13,2,6,3
131,10,0,4,11,1,3,6,0,3,9,0,16,1,1,51,1,1,41,1,2,2,1
132,1,10,0,16,1,1,7,0,0,0,0,16,1,1,54,1,1,25,1,1,2,1
133,9,7,2,17,1,1,16,0,2,1,0,16,0,4,43,1,1,45,1,1,2,1
134,15,8,1,16,1,1,8,1,0,0,1,16,0,1,59,1,1,21,1,2,2,1
135,7,5,3,14,1,1,15,0,1,0,0,16,1,1,54,1,1,18,1,0,0,1
136,15,9,0,11,1,1,16,1,0,0,2,0,0,1,57,1,2,34,1,2,2,1
137,6,4,2,16,1,2,6,0,0,0,0,6,0,1,51,1,1,42,1,2,2,1
138,0,9,5,16,1,1,6,1,0,0,0,16,1,1,40,1,1,36,1,1,2,1
139,8,10,0,9,1,1,6,1,0,0,0,0,1,1,53,1,1,18,1,1,2,1
140,3,1,1,17,1,1,6,1,0,0,0,0,1,1,38,1,1,58,1,2,2,1
141,14,0,2,9,1,0,5,1,2,1,0,2,0,1,52,1,1,50,1,1,2,1
142,7,10,5,11,1,0,2,0,0,0,0,16,0,1,54,2,1,22,3,2,2,2
143,3,1,2,6,1,1,8,0,0,0,0,16,0,1,52,1,1,39,1,1,2,1
144,10,2,1,7,1,1,15,1,0,0,0,2,1,1,61,2,1,07,4,1,2,2
145,4,4,0,16,1,0,5,0,0,5,0,16,0,1,54,1,1,41,1,2,2,1
146,13,11,2,7,1,1,6,1,0,9,0,3,0,1,63,2,2,51,3,1,2,2
147,6,3,6,10,1,2,6,1,2,1,0,0,2,1,56,1,2,43,1,1,2,1
148,0,6,5,20,1,3,6,0,0,0,0,16,0,1,47,1,1,21,1,2,2,1
149,9,2,6,14,1,1,18,2,0,0,0,16,1,1,47,1,1,54,1,1,2,1
150,4,9,3,13,1,1,13,0,0,0,0,16,1,1,57,1,2,51,1,2,2,1
151,0,9,5,14,1,3,6,1,0,0,0,0,1,1,50,2,2,43,3,2,2,2
152,5,0,2,14,1,1,6,1,0,0,0,0,0,1,39,1,1,58,1,1,2,1
153,0,0,4,17,0,1,11,0,1,1,2,16,1,1,52,1,1,56,1,2,2,1
154,7,0,0,15,1,1,15,10,0,0,0,16,1,1,55,1,1,18,1,2,2,1
155,15,9,3,20,1,1,13,1,0,0,0,0,0,1,60,2,2,20,3,2,2,2
156,11,4,2,22,1,1,18,0,0,0,0,16,1,11,0,1,2,32,1,2,2,4
157,8,8,4,11,1,1,15,0,0,0,0,16,1,4,41,1,1,57,1,1,2,1
158,2,10,6,16,1,1,6,1,2,1,0,0,0,1,38,2,2,06,3,1,2,2
159,9,7,1,23,1,0,5,0,0,0,0,16,25,0,0,1,1,24,13,2,6,3
160,0,0,6,18,1,1,6,0,0,3,0,16,1,1,49,1,1,27,1,1,2,1
161,2,0,5,13,1,0,5,0,0,1,0,16,0,1,39,2,2,13,2,1,2,2
162,1,5,3,14,1,1,6,0,0,0,0,16,1,1,54,1,1,18,1,1,2,1
163,12,5,2,8,1,1,15,1,0,0,0,2,0,7,59,3,2,11,4,1,2,2
164,11,5,4,15,1,1,18,0,0,0,0,16,0,1,64,1,1,50,1,0,0,1
165,13,8,3,9,1,1,18,0,0,0,0,16,0,1,63,1,1,75,1,1,2,1
166,14,0,3,13,1,2,18,1,0,3,0,16,2,1,66,1,2,40,1,1,2,1
167,10,8,3,16,1,2,17,10,0,0,0,16,0,1,54,2,1,82,3,1,2,2
168,15,0,1,18,1,1,13,10,0,1,0,16,0,1,55,2,1,22,3,2,2,2
169,4,6,2,16,1,1,15,1,0,0,0,2,1,11,0,1,1,53,1,2,0,4
170,2,7,1,17,1,3,6,1,0,0,0,0,3,1,42,3,1,19,4,1,2,2
171,2,7,2,3,1,1,6,1,0,0,0,0,1,1,55,1,2,39,1,2,2,1
172,0,0,4,17,1,2,6,0,3,1,0,16,1,1,51,2,2,48,3,2,2,2
173,9,1,4,12,1,1,6,1,0,1,0,7,1,1,59,2,2,52,3,1,2,2
174,1,8,3,17,1,1,6,0,0,0,1,16,1,1,34,1,1,49,1,0,0,1
